"Process Path","Work Pool","ExSD","Quantity"
"PPSingleMedium","ManifestPendingVerification","2022-11-30 14:30","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 18:45","2"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 23:00","59"
"PPSingleMedium","ManifestPending","2022-11-30 23:00","311"
"PPNonCon","PickingNotYetPicked","2022-12-01 10:45","24"
"PPMultiMedium","Sorted","2022-12-01 10:45","4"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 14:30","275"
"PPMultiMedium","ReadyToPick","2022-12-01 23:30","112"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 03:30","586"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 23:30","10"
"PPSingleMedium","PickingPickedRouting","2022-12-01 19:15","1"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 19:45","170"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 19:45","4"
"PPSingleMedium","ManifestPending","2022-11-30 19:15","709"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 02:30","69"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-11-30 23:00","15"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 19:15","46"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 23:30","187"
"PPMultiWrap","ReadyToPick","2022-11-30 14:30","11"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-11-30 19:45","10"
"PPMultiWrap","ReadyToPick","2022-11-30 18:45","2"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 19:15","4"
"PPNonCon","ManifestPending","2022-12-01 03:30","15"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 19:15","57"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 23:00","2"
"PPMultiMedium","PickingNotYetPickedNonPickable","2022-11-30 19:45","1"
"PPMultiMedium","Sorted","2022-12-01 03:30","498"
"PPSingleMedium","ManifestPending","2022-11-30 19:45","1375"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 06:45","4"
"PPNonCon","PickingNotYetPickedNonPickable","2022-12-01 23:00","1"
"PPSingleMedium","PickingPickedInTransit","2022-11-30 14:30","1"
"PPMultiMedium","ReadyToPick","2022-12-01 03:30","66"
"PPSingleMedium","PickingPicked","2022-12-01 19:45","4"
"PPMultiMedium","ReadyToPick","2022-12-01 19:45","324"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 14:30","3"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 19:45","4"
"PPMultiMedium","PickingPicked","2022-11-30 19:15","2"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 19:15","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 18:45","37"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 03:30","52"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 18:45","43"
"PPMultiWrap","ReadyToPick","2022-12-01 19:15","1"
"PPSingleMedium","PickingPicked","2022-11-30 18:45","48"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 19:45","1"
"PPNonCon","PickingNotYetPickedPrioritized","2022-12-01 10:45","11"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 19:15","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 19:15","1"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 14:30","2"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 23:00","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 19:45","51"
"PPNonConTeamLift","ManifestPending","2022-11-30 19:45","1"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 23:30","19"
"PPNonCon","PickingNotYetPicked","2022-12-01 23:30","7"
"PPMultiMedium","Sorted","2022-12-01 23:30","6"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 02:30","16"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 14:30","1"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 19:15","8"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 06:45","21"
"PPNonCon","PickingNotYetPickedNonPickable","2022-12-01 19:45","6"
"PPNonConTeamLift","PickingNotYetPickedPrioritized","2022-11-30 19:45","3"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 23:00","2"
"PPMultiMedium","ReadyToPick","2022-12-01 23:00","34"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 18:45","8"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 10:45","271"
"PPMultiMedium","ReadyToPick","2022-11-30 18:45","16"
"PPMultiWrap","ManifestPending","2022-11-30 19:45","1"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 14:30","178"
"PPSingleMedium","ProblemSolving","2022-11-30 14:30","1"
"PPMultiMedium","ReadyToPick","2022-12-01 14:30","103"
"PPMultiMedium","PickingPicked","2022-11-30 23:30","2"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 06:45","21"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 23:30","708"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 23:00","42"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 18:45","22"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 02:30","4"
"PPNonConTeamLift","PickingNotYetPicked","2022-11-30 19:45","3"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-11-30 23:30","3"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 03:30","127"
"PPNonCon","ManifestPending","2022-11-30 19:15","4"
"PPMultiMedium","ReadyToPickUnconstrained","2022-11-30 23:30","105"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-12-01 02:30","47"
"PPMultiWrap","ReadyToPick","2022-12-01 23:30","3"
"PPNonCon","PickingNotYetPickedNotPrioritized","2022-12-01 06:45","1"
"PPSingleMedium","PickingPicked","2022-11-30 14:30","66"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 23:30","22"
"PPNonCon","PickingNotYetPickedNonPickable","2022-12-01 10:45","1"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 19:45","29"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 19:45","45"
"PPSingleMedium","ManifestPending","2022-12-01 14:15","26"
"PPSingleMedium","ManifestPending","2022-11-29 14:15","5"
"PPMultiMedium","ProblemSolving","2022-11-30 18:45","6"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 18:45","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 03:30","16"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 19:45","12"
"PPSingleMedium","PickingNotYetPicked","2022-11-30 14:30","250"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-11-30 19:15","14"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 23:00","14"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 14:30","1"
"PPMultiWrap","ReadyToPick","2022-12-01 02:30","1"
"PPMultiMedium","Sorted","2022-11-30 19:45","56"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 10:45","346"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 19:45","10"
"PPMultiWrap","ReadyToPickUnconstrained","2022-11-30 14:30","10"
"PPNonCon","PickingNotYetPicked","2022-11-30 19:45","1"
"PPMultiWrap","ReadyToPick","2022-11-30 23:00","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 18:45","3"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 23:30","110"
"PPSingleMedium","ManifestPending","2022-12-01 03:30","1316"
"PPSingleMedium","PickingPickedInProgress","2022-11-30 19:45","1"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 19:45","18"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 10:45","48"
"PPMultiMedium","ManifestPending","2022-12-01 03:30","12"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 23:00","32"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 02:30","15"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 06:45","15"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 06:45","333"
"PPMultiMedium","ProblemSolving","2022-11-30 19:45","5"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 02:30","7"
"PPMultiMedium","RebinBuffered","2022-11-30 23:30","40"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-11-30 19:45","139"
"PPSingleMedium","PickingPicked","2022-12-01 03:30","71"
"PPMultiMedium","ProblemSolving","2022-12-01 14:30","2"
"PPMultiMedium","ReadyToPick","2022-11-30 19:15","10"
"PPSingleMedium","PickingPickedInTransit","2022-12-01 10:45","2"
"PPNonCon","PickingNotYetPickedPrioritized","2022-11-30 14:30","2"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 23:30","4"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 02:30","1"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 14:30","2"
"PPMultiMedium","ReadyToPick","2022-12-01 10:45","223"
"PPNonCon","PickingNotYetPickedNonPickable","2022-12-01 23:30","7"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 18:45","12"
"PPMultiWrap","ManifestPending","2022-11-30 19:15","1"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 18:45","45"
"PPSingleMedium","Scanned","2022-11-30 14:30","1"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 10:45","1062"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 10:45","2"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 19:15","1"
"PPSingleMedium","PickingPicked","2022-11-30 19:15","10"
"PPSingleMedium","PickingPickedInProgress","2022-11-30 18:45","3"
"PPNonConTeamLift","ManifestPending","2022-11-30 18:45","1"
"PPNonCon","ManifestPending","2022-11-30 14:30","14"
"PPSingleMedium","PickingPicked","2022-12-01 10:45","103"
"PPSingleMedium","ProblemSolving","2022-11-30 23:30","1"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 23:30","36"
"PPMultiMedium","Sorted","2022-12-01 14:30","14"
"PPMultiMedium","ReadyToPickUnconstrained","2022-12-01 06:45","47"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 23:00","24"
"PPSingleMedium","PickingPickedInTransit","2022-12-01 03:30","1"
"PPMultiMedium","Sorted","2022-11-30 18:45","60"
"PPMultiMedium","ReadyToPick","2022-12-01 02:30","18"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 23:30","4"
"PPSingleMedium","ManifestPending","2022-12-01 02:30","87"
"PPMultiWrap","ReadyToPickNonPickable","2022-11-30 19:15","1"
"PPMultiMedium","Sorted","2022-11-30 23:00","31"
"PPNonCon","PickingNotYetPicked","2022-11-30 23:00","1"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 23:30","3"
"PPNonCon","PickingNotYetPicked","2022-11-30 18:45","1"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 18:45","12"
"PPSingleMedium","PickingPicked","2022-12-01 23:30","1"
"PPMultiWrap","ReadyToPick","2022-11-30 19:45","15"
"PPSingleMedium","PickingPickedRouting","2022-11-30 18:45","2"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 19:45","1"
"PPMultiMedium","ManifestPending","2022-11-30 14:30","550"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 23:00","38"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 10:45","96"
"PPMultiMedium","ReadyToPickNonPickable","2022-11-30 18:45","2"
"PPSingleMedium","PickingNotYetPickedNonPickable","2022-11-30 14:30","2"
"PPMultiMedium","ReadyToPick","2022-11-30 23:30","114"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 23:00","11"
"PPSingleMedium","PickingPicked","2022-12-01 02:30","6"
"PPMultiWrap","ReadyToPickNonPickable","2022-12-01 06:45","1"
"PPNonCon","PickingNotYetPickedPrioritized","2022-12-01 06:45","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 19:45","649"
"PPSingleMedium","PickingNotYetPickedNotPrioritized","2022-12-01 06:45","130"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 14:30","4"
"PPSingleMedium","PickingPickedAtDestination","2022-11-30 19:45","25"
"PPSingleMedium","PickingPicked","2022-11-30 23:00","12"
"PPMultiMedium","PickingPicked","2022-11-30 18:45","1"
"PPSingleMedium","PickingPickedAtDestination","2022-12-01 02:30","5"
"PPSingleMedium","PickingNotYetPickedPrioritized","2022-12-01 19:15","4"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 23:30","719"
"PPMultiWrap","ReadyToPick","2022-12-01 14:30","1"
"PPMultiMedium","PickingNotYetPickedNotPrioritized","2022-12-01 19:45","2"
"PPMultiWrap","ReadyToPick","2022-12-01 18:45","3"
"PPMultiMedium","ReadyToPickNonPickable","2022-12-01 19:15","2"
"PPSingleMedium","PickingNotYetPicked","2022-12-01 19:15","27"
"PPMultiWrap","ReadyToPickUnconstrained","2022-12-01 23:00","1"
"PPMultiMedium","PickingPickedAtDestination","2022-11-30 18:45","1"
"PPSingleMedium","PickingPickedRouting","2022-11-30 19:45","1"
"PPSingleMedium","PickingPicked","2022-11-30 19:45","30"
"PPMultiMedium","ReadyToPick","2022-11-30 19:45","93"
"PPMultiMedium","PickingNotYetPicked","2022-12-01 10:45","96"
"PPMultiMedium","PickingNotYetPickedPrioritized","2022-12-01 03:30","29"
"PPMultiWrap","ReadyToPickNonPickable","2022-11-30 19:45","1"
"PPMultiMedium","ManifestPendingVerification","2022-12-01 14:15","1"
"PPMultiMedium","PickingNotYetPicked","2022-11-30 19:15","14"
